frase,emocion
no arrepentir ﻿1 amagar comprar intimidar segundar intentar esperar caer ,NEU
abrazo gente abrazar fuerte mjor dia cont ,P
bien abrazar ir taxi sonar no tener preciar cenita empresa ,P
mandar mujer puente romano ;) año querer cont ,P
hecho seguirme par minuto asunto interes querer comentarle ,NEU
posible felicitacion navideño mural gente caer vaciar ,N
fenomenal cantidad calidad gracias cuidar firmar ayer ,P
coser no ser ahora meter mitad partir poner partir ,NEU
columna lunes futuro lehendakari queremos ,NEU
no salir hoy tele ir rojo stan vender ,NEU
encantar belen ,P
orale besazo rt ya votar cont ,P
bromar no?¿la felicitacion navideño gente precipitandose vaciar ,N
recomendar procesador texto hablar mejor ,P
edicion contar ,P
tradicional mas personar celebrar compañerismo proyectar cambiar ,P
espectacular aficion cantar emocinante himno centenario mejor himno futbol español gustar ,P
creo k no seguir comentario martin demasiar criticar siempre madrid ,N
par fama ls seguidor _ legendario q tapar pecho librar decir ,NEU
ver partir salir muy electrico tener espectaculo ,P
sumando farola castizo perdido calle leon vestir ,N
total 1 ,NEU
descender ,NEU
k pia d casilla mamma mia ,NEU
gente precipitandose vaciar ,N
segundo milagro santo cancerbero ,NEU
mejor timeline disponible dia ,P
enorme mensje nche compartir vostrs bueno noche ,P
no saber seguirle apoyas amenazar muerte ,N
mañana sobran capos gualtrapos impostor arcoiris tener mas colorir gris negro ,NEU
gustar saber segundo soportar soportaria madridista acudir ,P
disfrutando pasear centrar regalar ,P
hoy pasar tardar twuitter tener negro dirigir periodico seriar ,NEU
"1.albert cartas amigar aleman.1943.""amo demasiar pais nacionalista ",P
"2.cuando hablar referir alos""alemanes nazi hablar hablar europeo libre ",N
fallar ya tener poder mental bloquear delantero ,NEU
muy violento ,NEU
acabar estar campar ,NEU
cristianooo ,NEU
ya coser menudo zambombazo no chutar asir grande ocasionar ,N
biologo oxigenar decir teletipo copiar oxiginar ,NEU
no saber ya color ver americano rojo mañana pensar ser seguidor ,NEU
justo expulsion ,NEU
buenas hoy dia preparar casar visitar familia arbolito ya estar quedar precioso ,P
participar perder ,N
viendo viajero ,NEU
tremendo arbeloa coloso espartano ua ,NEU
reglar general contacto servir siempre no necesitar asisonlascosas ahilodejo ,NEU
pasmar ,N
comida navideño lechon serrar compañia periodista ,NEU
justo brillante gol imposible tu pensar partir mas igualar marcador ,P
amigo ;-) [ pic ] ,P
pasmar dialogo no tener desperdiciar ,NEU
way no dar tiempo trabajar escribir radiar television firmar libro dirigir tuiteando ritmar ,P
paz maestro bolero estan luto mùsica alma pleno vestir jefe ,P
tirante grande partir futbol basket poner comentarista twitter mejor tv ,P
leer ver tele despues ﻿1 naufragio tener mente librar ,N
espadar vez quitar _ presumir manera hacer ,N
casar hacer dañar gran temporada hat trick ,P
bueno amigo librero citar latin estante maderar presumir ,P
no mejor ganar _ preferir ganar barça perder hoy ,P
shock princesa _ par par asimetrico ,NEU
sonar bien mal tele ahora descansar futbol despues ,P
atacar cerrar dogal diario ,N
portada domingo casar real conocer 2006 negocio inadecuado ,NEU
revuelta saldar hoy muerto comunidad copto preparar martirio ,N
gran resultar nuevo imposible gran casilla balon d platinar ,P
saludos aqui dejar portar hoy domingo diciembre ,NEU
others ,NEU
recomendar 2006 trabajar ser dejar hacer casar autoridad ,P
portada domingo casar real conocer 2006 negocio inadecuado ,NEU
placer ratito vosotros mañana buenas noche ,P
ninis no decir crisis acabar ,N
light solo tener cocar cola ;) mañana ,P
planeta creativo ir placer salu2 ,P
pasaje aqui pagar entrenar no importar ,NEU
seguro querer dormir ,NEU
vida caja l€ch€ r€ll€no$ liquido n€gro ,NEU
ya cumpleaños gracias felicitacion ,P
tener compañero equipar llevar 20años baba cuestion ,P
gracias felicitacion muy contentar ayudar vez equipar despues mes muy durar abrazar enorme gente ,P
despreciar representacion sobre13.pues equivalente seriar 27diputados ,NEU
muy gracioso sacar anuncio marcar si solo repartir mercar televisivo ,P
leyendo ultimo comisario aguar cuello fondo rescatar ,N
foto divertir concertar gracias ,P
aqui nosotros ,P
exito consistir obtener desear felicidad disfrutar obtener ,P
aqui estar videocapitulo gustar ,P
economia dominio vision largar plazo presion bolsa ,N
gracia felicitacion fondo alma gracias ,P
buenos dia asi amanecer ,NEU
volver no creer subidoooooon via ,NEU
domingo vestir amanecer precioso besar corazon saber feliz domingo ,P
hoy carrera beneficiar aecc necesitamos apoyar contraelcancer ,P
dedicar hoja ruta estais acordar objetivar ,P
buenos dia disfrutar domingo ,P
momento blog formar partir blogroll poder visitarnos ,NEU
;-) gracia verdad punto twtts momento dedicar ,P
empezar domingo charlar largamente no tener preciar ,P
coser gustar mas hijo despertar beso espero asir cariñoso vida ,P
bebe niño seleccionar especial ,NEU
quedo nevar localizar trineo ,NEU
volver aula año despues ,NEU
renovacion ordenar epilogo hoy eperiodico congrespsc ,NEU
creativos solidario ,P
estrategia salir crisis ,NEU
economia britanico vivir morir ,N
diariosur.es colaborar rastrillar favor enfermo cancer ,N
diariosur.es barrio repartir millon euro acabar barrera arquitectonico ,N
culminar salir retirar ultimo soldar via ,N
joya naturaleza imagen ,P
flashmob homenaje enfermo cancer ,P
amanecer blanco buenos dia ,NEU
criticar retrasar iniciar obrar centrar hospitalario via ,N
sumergir playa via ,NEU
problema solo minoria electorado recibir informacion fuente remotamente serio ,N
abc.es heredar economia punto entrar segundar recesion ,N
abc.es niño sufrir bronquiolitis ,N
abc.es poblar mas endeudar ,NEU
abc.es querer aniquilar actualizacion masivo ,N
salen ultimo soldar estadounidense via ,N
millon razonesparacreer no xq decir ,NEU
resignacion recorte no mitigar pesimismo encuestar ,N
buenos dia ,NEU
buen domingo sol ,P
enemigo no metro entusiasmar quiza xq sobrar primero pags ,NEU
holgar piloto domingo obligar cancelar cercar centenar vuelo proximo paro dia ,N
saber año no denunciar no encubrimiento ,NEU
poema domingo ,NEU
from ,NEU
esperar ponerle chandal no adelantar imputacion ,N
enhorabuena alegrar mucho nuevo batir record campeonato librar ,P
ya mas amigo gracia feliz domingo ,P
gente solo insultar demostrar profundidad argumento reafirmar mio via ,NEU
feliz dia ,P
ayer comprobar posible dormir bateria solo necesario estafador cortar dato ,N
felicidad ,P
responsable ,NEU
bueno recuerdo traer belen traido ,P
virtuoso chelista sufrir amnesia ,N
os ,P
joven españolar cifrar crecer peligrosamente ,N
pesar holgar despues visitar investigação saudade publicar privado(caixa ,NEU
muy recomendable decir no via ,P
noticias descombacantes disponible ,P
hoy cumplir año todavia recordar año careto petrificar ver estrenar dioslebendigaporsiempre ,P
acercar ruso ir ,NEU
bien jugar ,P
articulo hoy merece reflexion democracia · ,NEU
solo sevilla despertar banda corneta tambor diciembre mañana ,NEU
grande linear futuro tratar ,NEU
dudar mejorar bocadillo lomo probar ,P
criticar tio esvàstica avatar manda huevo ,N
pedazo ,NEU
tener vecino aprendiz d musicar capaz d hora seguir escalar tremendo ,NEU
criticarte llevo avatar xd ,P
feliz dia ,P
campeon americano equipar lado canterano titular ,P
bonito ver jugar final ver jugar bonito futbol ,P
solo tener año ,NEU
ahora llegar fin terrorismo decir pais parecer aun tener terrorista armar ojo ,N
no olvidar magnifico reportaje victima mencion amigar ,NEU
hoy fiesta verdiales hoy homenaje [ pic ] ,P
ponerme tirante blaugrana homenaje previsible gran ,P
leer fallecer intelectual participar politico personalidad historia gran perdido ,N
homenaje verdialero ,P
fallece ﻿1 presidente ser democratico ,N
no no intercambiar camiseta antes acabar partir ,N
fallecer intelectual participar politico libertar personalidad historia gran perdido ,N
antes morir chandal no vestir comodo domingo deje tirante dia pongase chandal decathlon ,N
democracia edificio siempre concluir ,NEU
mas joven no conocer obrar leer librito discurso noto presidente fuente inspiracion ,P
no socialista feminista congrespsc ,NEU
acabar alto cargar cesante semana adios coche oficial ir a ,NEU
vecino hoy fiesta verdiales ,NEU
enhorabuena barca titulin ,P
dimision ,N
no kejara atleti ir expulsion betis ,NEU
hoy venir aprender jugar futbol palabras ,P
ver servir parque gracia ,P
from ,NEU
gobernar año cambiar no ademas imposible ,N
from ,NEU
entonces si claro jamas salir estar casar haz deportar tampoco chandal ,NEU
siento mucho muerte gran figurar intelectual politico siglo xx escribir hacer vida obrar arte ,P
uniformar patear vejar joven manifestante revolucion pacifico brutal machista enemigo ,NEU
hace grande from ,P
patronal asturiano decir acabar lujo proponer cerrar hospital suprimir empleo publico agresion clase ,N
pensabamos mirar lado ahora saber poner paño caliente escandalo ,N
perdoname by from ,NEU
va x querer ,P
noche from ,NEU
preciosa versionar padre .... maravillar – from ,P
impulsar capital español turismo musical ,NEU
historico ,NEU
lealtad aguda reflexion caido ,P
encuentro [ pic ] ,NEU
maravilloso video pingüino gay hacer gran ,P
felicidades barcelonista ,P
buscar arar saludarte no encontrar besar ,P
verdades mentira minijobs ,NEU
cuenta leer acabar comprarme librar no esperar regalar pesar ,P
malagueño tener alcalde ahora cambiar urgente ,N
pavo arbolar caminar manifestarse contra ,NEU
quemar mover año- declarar ,NEU
ver andar no ver ,NEU
enterar fallecimiento gran personar gran amigar hicimos coser tristeza ,P
victoria ,P
gente salir genial hijo alegria muy familiar verdad gustar ,P
espectacular llevar año seguir dar titular domingo incluido hoy mejor ,P
bello articular bueno amigar par ,P
no enterar ganar hacen sandwich noticiar imparcialidad ,NEU
poner objetivar alcanzable 2012 recuperar confianza futuro crecimiento emplear mas tardar ,P
asi gobernar año cambiar no ademas imposible ,N
gran batallador elcomunismo hombre libertad frente totalitarismo torturador extremo izquierdo ,P
encontrar ,NEU
hahahahahahahahaha deep breath cool ,P
salir estupendo mundo genial ,P
estar ahora preparand reunion tardar dia mañana ,NEU
dia tuitearia ,NEU
herencia mas emigrante inmigrante pesadilla legislatura verdad ,NEU
ya visitar enero mas superficie figurar ,NEU
joven españolar huir no querer volver salir ,N
funciona tuit tuit bueno no hacer mas leer comentario acercar librar comprar tengo ganar ,P
momento personar creer ministro fijar jueves infartar falto vision ,N
comer familia amigo ,P
llamativo momentoempresario buscar desesperadamente ministrable muy divertir ,P
ya cantar ,NEU
restaurante mas frikis ver ,NEU
felicidades campeon mundo solvencia dar espectaculo aun asir jajaja ,P
querer mandar tambien mucho animar pasar muy mal ,P
recomiendomaktub ,NEU
querer regalar bueno libro fundamental autor sabercomprar ,P
casi año acompañar padre ultimar derbi provincial ,P
hoy ir acompañar hijo ver partir ,P
pongo delante equipo mostrar cariño ,P
luego ,P
perder gran valedor dia expresidente ,P
muy contento victoria ayer terminar año lider comer despues visitar hospital ,P
dimitir ya dar tiempo pedir dimision nuevo entrenador antes terminar primero volver ,NEU
todavia existir primero entretenimiento interneteros ,NEU
dejar tiempo apoltronar permanente ,NEU
mañana debatir investidura discursar conviccion compromiso altura ,NEU
os dejar fotito mesar ,NEU
mermelada frambuesa chocolate negro primero casar abuelo frances ,NEU
subir poner nevar cumplir año mas tradicion familiar ,P
noticia cobrar atencion medico extranjero ,NEU
ya no quedo terminar maldito 2011 unañoparaolvidar ” quedo 2012 ,NEU
pensar influir equivocar ministro previsible estrellar invitar ,N
imaginar no ,N
primero diferenciar discrecion hacen falto mas discreto menos indiscreto menos listo tambien ,NEU
lider provisional ligar favor dar trofeo no ,P
mañana comenzar ser antes pequeño homenaje despedir via ,P
aqui energiapositiva mucho ,NEU
tu mas ole mujer apañar ,P
entrando ayudar lamarato coger llamar donativo ayudar trasplante d organo ,P
entrando ayudar lamarato coger llamar donativo ayudar trasplantar d organo ,P
se ,NEU
ayudar lamarato coger llamar donativo ayudar trasplantar d organo ,P
uffff se ,NEU
màs parecer imponer grande fortuna tasar financiar partir familia real ,NEU
despues probar mañana tener pequeño roturar fibra gradar espero cuanto antes saludo ,N
ya ser razonar enganchar mala leche tener oir ,N
igualmente encantar hoy ,P
akelarrepositivo aqui energiapositiva mucho ,P
tambien dejar grande ,P
vecino manifestar permitir usar solar huerto urbano ,NEU
ver deslizar derecho dejar llevar precaucion apoyar costar barrer bar ,N
mirar manir estrechar año ,P
represion año revuelta indudable avanzar pais arabe quedo caminar ,NEU
digital año empresario quejar pedir canon anual via ,N
viendo ordenador gran partir ,P
ya saber programar disposicion mercar noticiar ministro suponer ,NEU
autoridad egipcio llamar contencion muerto menos herir contar ,N
ex mintro salud alma proyectar encantados ,P
ahi ir teatro investigacion crak _ veriueu ho ,NEU
pelear contigo pasion no guerra ,P
no ,NEU
_ hoy menos violencia mundo sentir mas repugnar mas ,NEU
pedazo patio butaca hoy ultimo dia ,NEU
recuerdo paseo ciudad viejo castillo no imaginar ocupar despues ,N
decir cadena poner alegrar mejorar mucho vestir ;) ,P
querer candidato 2015 recuperar ,P
gustar proyectar esperar pronto reunir direccion abordar proyecto futuro ,P
contar mañana comer uva 1999 bunker ,NEU
dijeron no recortar sanidad hoy decir insostenible no aumentar pagar rico pobre 1 ,N
gran ideo frente fracasar escolar recortar gastar publico aumentarlo privar alternativo obligar religion ,N
españa medalla bronce primero vez campeonato mundo balonmano femenino felicidades chico ,P
promonarquia prorepublica ojo difer acortar mitad año ,NEU
crisis callar izquierdo narrar situacion actual ,N
mas valer pajaro manir comprar esperar ,P
encantar comprar gran librar gran personar ,P
pillar derecho inmortal alimentar sangrar victima ,N
puedes mandarlo hablar secretario ayer llegar formar firmar ,NEU
claro dia llevar tirante azulgrana honor campeon ,P
pensar hacer evitar tragico consecuencia ominoso ,N
dar leccion futbol dudar equipar ahora mejor mundo ,P
siempre lado bien sublimar decir padre ingenuo creer estar lado ,P
mediar ambientar igualdad genero cultura no ministerio siquiera ahorrar no coser ,N
contar ,NEU
razonar via ,NEU
no ver muslo tampoco ir tienta ,NEU
videocapitulo concertar ,NEU
partir belen casar ,P
encantar hoy rubio adorar ,P
﻿1 poblar pitufo mundo azul ,P
jefe 2006 actual comparecer ,NEU
vecino votar favor poblar azul ,NEU
tocar año prinera vez afrontar silla vacio ,NEU
